date,total_delay_mins,total_incidents,median_incident_delay,temp_max,temp_min,feels_like_max,precip_mm,precip_hours,snowfall_cm,wind_speed_max,gust_speed,mean_temp_c,precip_intensity,is_freezing,is_heatwave,month_num,month,month_abbr,day_of_week,is_weekend,is_weekend_int,day_type,weather_type,avg_delay_per_incident,severe_day
2014-01-01,203,45,4.0,-9.3,-15.1,-14.4,0.0,0.0,0.14,18.9,32.8,-12.2,0.0,1,0,1,January,Jan,Wednesday,False,0,Weekday,Light Rain/Snow,4.511111111111111,1
2014-01-02,159,76,0.0,-15.3,-19.3,-21.6,2.5,13.0,2.31,23.1,43.9,-17.3,0.19230769230769232,1,0,1,January,Jan,Thursday,False,0,Weekday,Light Rain/Snow,2.0921052631578947,0
2014-01-03,157,56,0.0,-12.4,-23.2,-18.1,0.0,0.0,0.0,20.3,39.2,-17.8,0.0,1,0,1,January,Jan,Friday,False,0,Weekday,Clear,2.8035714285714284,0
2014-01-04,68,33,0.0,-1.7,-11.4,-7.4,0.1,1.0,0.28,28.2,52.9,-6.55,0.1,1,0,1,January,Jan,Saturday,True,1,Weekend,Light Rain/Snow,2.0606060606060606,0
2014-01-05,87,34,0.0,0.7,-2.3,-3.6,11.0,23.0,7.35,20.6,52.2,-0.7999999999999999,0.4782608695652174,1,0,1,January,Jan,Sunday,True,1,Weekend,Heavy Rain/Snow,2.5588235294117645,0
2014-01-06,96,61,0.0,3.3,-14.3,0.1,7.6,9.0,1.47,32.9,61.2,-5.5,0.8444444444444444,1,0,1,January,Jan,Monday,False,0,Weekday,Light Rain/Snow,1.5737704918032787,0
2014-01-07,166,65,0.0,-13.8,-21.2,-22.7,0.2,1.0,0.21,38.7,65.9,-17.5,0.2,1,0,1,January,Jan,Tuesday,False,0,Weekday,Light Rain/Snow,2.5538461538461537,0
2014-01-08,194,86,0.0,-8.5,-17.8,-14.4,0.0,0.0,0.0,24.5,45.7,-13.15,0.0,1,0,1,January,Jan,Wednesday,False,0,Weekday,Clear,2.255813953488372,1
2014-01-09,331,88,1.5,-7.2,-12.9,-11.0,0.0,0.0,0.0,14.4,23.4,-10.05,0.0,1,0,1,January,Jan,Thursday,False,0,Weekday,Clear,3.7613636363636362,1
2014-01-10,102,67,0.0,1.4,-6.7,-2.2,1.4,8.0,1.12,11.5,23.4,-2.6500000000000004,0.175,1,0,1,January,Jan,Friday,False,0,Weekday,Light Rain/Snow,1.5223880597014925,0
2014-01-11,392,37,0.0,5.5,1.6,1.0,9.6,18.0,0.0,25.3,43.9,3.55,0.5333333333333333,0,0,1,January,Jan,Saturday,True,1,Weekend,Light Rain/Snow,10.594594594594595,1
2014-01-12,66,24,0.0,1.8,-0.7,-3.1,0.0,0.0,0.0,23.4,41.8,0.55,0.0,1,0,1,January,Jan,Sunday,True,1,Weekend,Clear,2.75,0
2014-01-13,114,66,0.0,5.3,0.1,0.2,1.9,7.0,0.0,25.2,49.0,2.6999999999999997,0.2714285714285714,0,0,1,January,Jan,Monday,False,0,Weekday,Light Rain/Snow,1.7272727272727273,0
2014-01-14,99,52,0.0,4.6,-1.2,0.6,0.2,1.0,0.0,18.4,36.4,1.6999999999999997,0.2,1,0,1,January,Jan,Tuesday,False,0,Weekday,Light Rain/Snow,1.9038461538461537,0
2014-01-15,62,54,0.0,0.6,-4.0,-3.6,0.2,1.0,0.28,30.1,59.0,-1.7,0.2,1,0,1,January,Jan,Wednesday,False,0,Weekday,Light Rain/Snow,1.1481481481481481,0
2014-01-16,51,55,0.0,-1.5,-4.7,-6.6,0.8,5.0,0.63,23.7,45.4,-3.1,0.16,1,0,1,January,Jan,Thursday,False,0,Weekday,Light Rain/Snow,0.9272727272727272,0
2014-01-17,44,38,0.0,1.5,-3.4,-3.4,0.4,3.0,0.63,23.7,47.9,-0.95,0.13333333333333333,1,0,1,January,Jan,Friday,False,0,Weekday,Light Rain/Snow,1.1578947368421053,0
2014-01-18,114,45,0.0,-2.7,-7.5,-7.0,0.8,5.0,0.84,18.9,36.4,-5.1,0.16,1,0,1,January,Jan,Saturday,True,1,Weekend,Light Rain/Snow,2.533333333333333,0
2014-01-19,111,38,0.0,-2.2,-8.2,-8.8,0.5,3.0,0.63,36.4,69.8,-5.199999999999999,0.16666666666666666,1,0,1,January,Jan,Sunday,True,1,Weekend,Light Rain/Snow,2.9210526315789473,0
2014-01-20,91,79,0.0,-2.3,-15.5,-7.3,0.6,3.0,0.63,22.7,44.6,-8.9,0.19999999999999998,1,0,1,January,Jan,Monday,False,0,Weekday,Light Rain/Snow,1.1518987341772151,0
2014-01-21,115,77,0.0,-15.7,-20.2,-21.5,0.0,0.0,0.0,15.1,29.9,-17.95,0.0,1,0,1,January,Jan,Tuesday,False,0,Weekday,Clear,1.4935064935064934,0
2014-01-22,158,59,0.0,-13.5,-22.4,-17.7,0.0,0.0,0.0,12.6,22.0,-17.95,0.0,1,0,1,January,Jan,Wednesday,False,0,Weekday,Clear,2.6779661016949152,0
2014-01-23,76,57,0.0,-14.4,-18.9,-19.8,0.0,0.0,0.0,17.4,34.6,-16.65,0.0,1,0,1,January,Jan,Thursday,False,0,Weekday,Clear,1.3333333333333333,0
2014-01-24,153,54,0.0,-9.1,-19.6,-17.8,0.2,2.0,0.35,37.5,69.5,-14.350000000000001,0.1,1,0,1,January,Jan,Friday,False,0,Weekday,Light Rain/Snow,2.8333333333333335,0
2014-01-25,97,39,0.0,-3.2,-14.1,-9.2,2.7,14.0,2.03,34.2,63.4,-8.65,0.19285714285714287,1,0,1,January,Jan,Saturday,True,1,Weekend,Light Rain/Snow,2.4871794871794872,0
2014-01-26,180,33,0.0,-6.0,-16.2,-12.0,1.2,7.0,1.05,21.3,40.0,-11.1,0.17142857142857143,1,0,1,January,Jan,Sunday,True,1,Weekend,Light Rain/Snow,5.454545454545454,0
2014-01-27,187,96,0.0,-4.9,-15.8,-9.9,1.5,4.0,1.12,32.9,58.0,-10.350000000000001,0.375,1,0,1,January,Jan,Monday,False,0,Weekday,Light Rain/Snow,1.9479166666666667,0
2014-01-28,271,75,0.0,-13.1,-18.9,-20.1,0.0,0.0,0.0,25.5,49.3,-16.0,0.0,1,0,1,January,Jan,Tuesday,False,0,Weekday,Clear,3.6133333333333333,1
2014-01-29,119,60,0.0,-10.0,-17.9,-16.5,0.0,0.0,0.0,28.0,54.4,-13.95,0.0,1,0,1,January,Jan,Wednesday,False,0,Weekday,Clear,1.9833333333333334,0
2014-01-30,215,66,0.0,-3.1,-12.5,-9.7,0.1,1.0,0.07,25.9,49.0,-7.8,0.1,1,0,1,January,Jan,Thursday,False,0,Weekday,Light Rain/Snow,3.257575757575758,1
2014-01-31,309,68,0.0,0.3,-4.7,-4.3,0.2,1.0,0.14,27.8,51.8,-2.2,0.2,1,0,1,January,Jan,Friday,False,0,Weekday,Light Rain/Snow,4.544117647058823,1
2014-02-01,63,42,0.0,0.6,-5.9,-3.0,12.7,15.0,8.82,14.7,28.8,-2.6500000000000004,0.8466666666666666,1,0,2,February,Feb,Saturday,True,1,Weekend,Heavy Rain/Snow,1.5,0
2014-02-02,38,34,0.0,0.6,-6.3,-3.1,2.2,4.0,1.19,16.2,30.6,-2.85,0.55,1,0,2,February,Feb,Sunday,True,1,Weekend,Light Rain/Snow,1.1176470588235294,0
2014-02-03,73,66,0.0,-5.3,-13.6,-9.2,0.0,0.0,0.0,11.2,19.1,-9.45,0.0,1,0,2,February,Feb,Monday,False,0,Weekday,Clear,1.106060606060606,0
2014-02-04,79,70,0.0,-5.7,-16.4,-9.6,0.1,1.0,0.14,10.9,15.1,-11.049999999999999,0.1,1,0,2,February,Feb,Tuesday,False,0,Weekday,Light Rain/Snow,1.1285714285714286,0
2014-02-05,205,106,0.0,-6.0,-11.5,-10.5,11.1,19.0,7.77,26.5,47.9,-8.75,0.5842105263157894,1,0,2,February,Feb,Wednesday,False,0,Weekday,Heavy Rain/Snow,1.9339622641509433,1
2014-02-06,220,99,0.0,-7.6,-16.2,-13.9,0.0,0.0,0.14,20.9,38.2,-11.899999999999999,0.0,1,0,2,February,Feb,Thursday,False,0,Weekday,Light Rain/Snow,2.2222222222222223,1
2014-02-07,93,61,0.0,-9.5,-14.0,-15.9,0.0,0.0,0.0,23.8,43.2,-11.75,0.0,1,0,2,February,Feb,Friday,False,0,Weekday,Clear,1.5245901639344261,0
2014-02-08,114,44,0.0,-8.7,-14.9,-13.8,0.0,0.0,0.0,19.2,33.8,-11.8,0.0,1,0,2,February,Feb,Saturday,True,1,Weekend,Clear,2.590909090909091,0
