date,min_delay,line,station
2014-01-01,55,BD,VICTORIA PARK STATION
2014-01-01,0,YU,FINCH STATION
2014-01-01,5,BD,COXWELL STATION
2014-01-01,0,YU,ST CLAIR WEST STATION
2014-01-01,9,YU,NORTH YORK CTR STATION
2014-01-01,7,BD,DUFFERIN STATION
2014-01-01,4,YU,QUEEN STATION
2014-01-01,5,YU,QUEEN STATION
2014-01-01,4,YU,DUPONT STATION
2014-01-01,0,BD,KENNEDY BD STATION
2014-01-01,5,BD,KENNEDY BD STATION
2014-01-01,0,YU,YORK MILLS STATION
2014-01-01,0,BD,DUNDAS WEST STATION
2014-01-01,3,YU,OSGOODE STATION
2014-01-01,5,YU,QUEEN STATION
2014-01-01,0,YU,COLLEGE STATION
2014-01-01,4,YU,FINCH STATION
2014-01-01,17,BD,YONGE BD STATION
2014-01-01,0,BD,VICTORIA PARK STATION
2014-01-01,3,YU,ST GEORGE YUS STATION
2014-01-01,5,BD,BAY STATION
2014-01-01,5,YU,SHEPPARD WEST STATION
2014-01-01,5,SHP,YONGE SHP STATION
2014-01-01,5,YU,SHEPPARD WEST STATION
2014-01-01,5,YU,SHEPPARD WEST STATION
2014-01-01,3,BD,HIGH PARK STATION
2014-01-01,0,YU,SHEPPARD STATION
2014-01-01,5,YU,BLOOR STATION
2014-01-01,0,BD,DUFFERIN STATION
2014-01-01,0,YU,NORTH YORK CTR STATION
2014-01-01,0,YU,SHEPPARD STATION
2014-01-01,0,YU,QUEEN STATION
2014-01-01,0,BD,RUNNYMEDE STATION
2014-01-01,0,YU,ST ANDREW STATION
2014-01-01,3,BD,LANSDOWNE STATION
2014-01-01,5,BD,KIPLING STATION
2014-01-01,0,YU,WELLESLEY STATION
2014-01-01,3,YU,BLOOR STATION
2014-01-01,5,BD,JANE STATION
2014-01-01,5,BD,OLD MILL STATION
2014-01-01,12,SHP,YONGE SHP STATION
2014-01-01,0,YU,ST PATRICK STATION
2014-01-01,6,SHP,YONGE SHP STATION
2014-01-01,5,BD,KENNEDY BD STATION
2014-01-01,0,YU,WILSON CARHOUSE
2014-01-02,0,YU,WELLESLEY STATION
2014-01-02,0,YU,GLENCAIRN STATION
2014-01-02,8,YU,SHEPPARD WEST STATION
2014-01-02,3,YU,YORK MILLS STATION
2014-01-02,3,YU,YORK MILLS STATION
2014-01-02,5,SRT,MIDLAND STATION
2014-01-02,7,SRT,LAWRENCE EAST STATION
2014-01-02,0,YU,OSGOODE STATION
2014-01-02,4,YU,UNION STATION
2014-01-02,0,BD,CHESTER STATION
2014-01-02,0,YU,BLOOR STATION
2014-01-02,0,BD,WARDEN STATION
2014-01-02,0,BD,ISLINGTON STATION
2014-01-02,8,YU,EGLINTON STATION
2014-01-02,5,YU,ST CLAIR WEST STATION
2014-01-02,5,YU,EGLINTON STATION
2014-01-02,0,BD,JANE STATION
2014-01-02,3,YU,WILSON STATION
2014-01-02,6,SRT,MCCOWAN STATION
2014-01-02,0,YU,ROSEDALE STATION
2014-01-02,7,YU,EGLINTON STATION
2014-01-02,4,YU,DUPONT STATION
2014-01-02,0,YU,SHEPPARD STATION
2014-01-02,0,YU,OSGOODE STATION
2014-01-02,0,YU,DAVISVILLE STATION
2014-01-02,12,YU,YORK MILLS STATION
2014-01-02,0,YU,ST GEORGE YUS STATION
2014-01-02,3,YU,DAVISVILLE STATION
2014-01-02,0,YU,YONGE UNIVERSITY LINE
2014-01-02,5,YU,DAVISVILLE STATION
2014-01-02,0,YU,YONGE UNIVERSITY LINE
2014-01-02,0,BD,RUNNYMEDE STATION
2014-01-02,0,YU,MUSEUM STATION
2014-01-02,0,BD,KENNEDY BD STATION
2014-01-02,0,YU,YORKDALE STATION
2014-01-02,0,YU,ROSEDALE STATION
2014-01-02,0,BD,KIPLING STATION
2014-01-02,0,BD,KIPLING STATION
2014-01-02,0,,BLOOR STATION
2014-01-02,0,YU,EGLINTON STATION
2014-01-02,0,BD,JANE STATION
2014-01-02,4,SRT,KENNEDY SRT STATION
2014-01-02,0,SRT,LAWRENCE EAST STATION
2014-01-02,3,BD,GREENWOOD STATION
2014-01-02,0,YU,ROSEDALE STATION
2014-01-02,0,YU,ROSEDALE STATION
2014-01-02,3,BD,PAPE STATION
2014-01-02,0,BD,ISLINGTON STATION
2014-01-02,0,YU,ROSEDALE STATION
2014-01-02,0,BD,BROADVIEW STATION
2014-01-02,9,SRT,ELLESMERE STATION
2014-01-02,0,YU,EGLINTON STATION
2014-01-02,0,BD,LANSDOWNE STATION
2014-01-02,0,BD,BROADVIEW STATION
2014-01-02,0,BD,BAY STATION
2014-01-02,6,SRT,MCCOWAN STATION
2014-01-02,5,YU,SHEPPARD WEST STATION
2014-01-02,0,SRT,MCCOWAN STATION
2014-01-02,5,YU,EGLINTON STATION
2014-01-02,0,BD,WARDEN STATION
2014-01-02,3,BD,KENNEDY BD STATION
2014-01-02,0,BD,KENNEDY BD STATION
2014-01-02,0,YU,YONGE UNIVERSITY LINE
2014-01-02,3,YU,EGLINTON STATION
2014-01-02,0,SRT,MIDLAND STATION
2014-01-02,0,BD,KEELE STATION
2014-01-02,0,YU,EGLINTON WEST STATION
2014-01-02,5,YU,SHEPPARD WEST STATION
2014-01-02,0,YU,LAWRENCE STATION
2014-01-02,0,YU,DUPONT STATION
2014-01-02,6,YU,EGLINTON STATION
2014-01-02,0,BD,DUNDAS WEST STATION
2014-01-02,8,YU,DAVISVILLE STATION
2014-01-02,3,YU,FINCH STATION
2014-01-02,3,YU,FINCH STATION
2014-01-02,5,YU,NORTH YORK CTR STATION
2014-01-03,20,BD,VICTORIA PARK STATION
2014-01-03,4,YU,ST CLAIR WEST STATION
2014-01-03,0,YU,DUNDAS STATION
2014-01-03,0,BD,GREENWOOD YARD
2014-01-03,0,YU,GLENCAIRN STATION
2014-01-03,7,BD,LANSDOWNE STATION
2014-01-03,3,YU,EGLINTON STATION
2014-01-03,3,YU,YORK MILLS STATION
2014-01-03,4,YU,KING STATION
2014-01-03,0,YU,LAWRENCE STATION
2014-01-03,10,SRT,LAWRENCE EAST STATION
2014-01-03,4,YU,EGLINTON STATION
2014-01-03,0,BD,BROADVIEW STATION
2014-01-03,0,BD,COXWELL STATION
2014-01-03,0,BD,BATHURST STATION
2014-01-03,27,BD,KEELE STATION
2014-01-03,3,YU,QUEEN STATION
2014-01-03,0,YU,LAWRENCE WEST STATION
2014-01-03,0,YU,UNION STATION
2014-01-03,0,BD,DONLANDS STATION
2014-01-03,0,YU,YONGE UNIVERSITY LINE
2014-01-03,7,SHP,BAYVIEW STATION
2014-01-03,0,YU,DUPONT STATION
2014-01-03,0,SHP,YONGE SHP STATION
2014-01-03,0,YU,ST PATRICK STATION
2014-01-03,0,BD,BATHURST STATION
2014-01-03,0,YU,SHEPPARD STATION
2014-01-03,0,YU,WILSON STATION
2014-01-03,0,YU,QUEEN STATION
2014-01-03,5,YU,SHEPPARD WEST STATION
2014-01-03,5,YU,DAVISVILLE HOSTLER
2014-01-03,8,SHP,LESLIE STATION
2014-01-03,0,YU,DUNDAS STATION
2014-01-03,4,YU,EGLINTON STATION
2014-01-03,7,BD,BROADVIEW STATION
2014-01-03,5,BD,PAPE STATION
2014-01-03,0,YU,EGLINTON STATION
2014-01-03,0,BD,PAPE STATION
2014-01-03,0,YU,YORK MILLS STATION
2014-01-03,0,BD,CHESTER STATION
2014-01-03,3,YU,DUPONT STATION
2014-01-03,3,YU,DUNDAS STATION
2014-01-03,3,SRT,MCCOWAN STATION
2014-01-03,7,BD,PAPE STATION
2014-01-03,0,YU,YORK MILLS STATION
2014-01-03,0,BD,BLOOR DANFORTH SUBWAY
2014-01-03,0,YU,YORKDALE STATION
2014-01-03,0,YU,YONGE UNIVERSITY LINE
2014-01-03,0,YU,ST CLAIR WEST STATION
2014-01-03,4,BD,BROADVIEW STATION
2014-01-03,4,YU,FINCH STATION
2014-01-03,0,BD,BROADVIEW STATION
2014-01-03,0,BD,SHERBOURNE STATION
2014-01-03,0,BD,VICTORIA PARK STATION
2014-01-03,4,BD,KENNEDY BD STATION
2014-01-03,3,YU,WILSON STATION
2014-01-04,0,YU,ROSEDALE STATION
2014-01-04,4,YU,SPADINA YUS STATION
2014-01-04,3,YU,SPADINA YUS STATION
2014-01-04,3,YU,SUMMERHILL STATION
2014-01-04,0,BD,DUNDAS WEST STATION
2014-01-04,0,YU,ST CLAIR WEST STATION
2014-01-04,14,BD,CHESTER STATION
2014-01-04,0,BD,RUNNYMEDE STATION
2014-01-04,4,YU,ST CLAIR WEST STATION
2014-01-04,0,BD,CHESTER STATION
2014-01-04,0,YU,ST CLAIR WEST STATION
2014-01-04,0,BD,GREENWOOD STATION
2014-01-04,0,YU,SHEPPARD WEST STATION
2014-01-04,3,YU,GLENCAIRN STATION
2014-01-04,0,YU,YORKDALE STATION
2014-01-04,0,YU,FINCH STATION
2014-01-04,0,SHP,YONGE SHP STATION
2014-01-04,10,SHP,DON MILLS STATION
2014-01-04,3,YU,EGLINTON WEST STATION
2014-01-04,0,SHP,DON MILLS STATION
2014-01-04,0,YU,BLOOR STATION
2014-01-04,0,BD,YONGE BD STATION
2014-01-04,4,YU,EGLINTON STATION
2014-01-04,0,SHP,BAYVIEW STATION
2014-01-04,5,YU,EGLINTON STATION
2014-01-04,5,BD,PAPE STATION
2014-01-04,0,SHP,BAYVIEW STATION
2014-01-04,0,YU,QUEEN'S PARK STATION
2014-01-04,0,YU,NORTH YORK CTR STATION
2014-01-04,4,YU,FINCH STATION
2014-01-04,6,SRT,KENNEDY SRT STATION
2014-01-04,0,YU,DAVISVILLE STATION
2014-01-04,0,BD,VICTORIA PARK STATION
2014-01-05,0,BD,HIGH PARK STATION
2014-01-05,0,YU,ROSEDALE STATION
2014-01-05,4,YU,UNION STATION
2014-01-05,4,BD,MAIN STREET STATION
2014-01-05,0,YU,DUPONT STATION
2014-01-05,5,BD,OSSINGTON STATION
2014-01-05,4,YU,SHEPPARD WEST STATION
2014-01-05,4,YU,FINCH STATION
2014-01-05,6,BD,KEELE STATION
2014-01-05,0,YU,GLENCAIRN STATION
2014-01-05,0,YU,SHEPPARD WEST STATION
2014-01-05,0,BD,YONGE UNIVERSITY LINE
2014-01-05,24,SRT,KENNEDY SRT STATION
2014-01-05,0,BD,DUNDAS WEST STATION
2014-01-05,5,BD,KENNEDY BD STATION
